_id,id,__v,action_cause,behavior_type,company_type,craft_code,createdAt,day_of_year,gbu,incident_date,incident_number,is_lcv,job,lastUpdated,location,month,near_miss_sub_category,primary_category,region,severity_level,unsafe_condition_or_behavior,violation_probability_level,violation_risk_severity_level,violation_severity_level,week,year
{'$oid': '69087efc012e93c9d6fdeb44'},135774577,0,Other,At-Risk,B,,1759914584881,33,Energy,1706868529000,135774577,True,Project A,1762164474707,Area 42,2,,Energy Isolation,Asia (North Asia),2,Unsafe Condition,0,2,0,5,2024
{'$oid': '69087efc012e93c9d6fdeb45'},135777725,0,Dropped Object(s),At-Risk,B,,1759914584881,40,Energy,1707473329000,135777725,True,Project A,1762164474707,Area 42,2,Injury/Illness,Dropped Objects,Asia (North Asia),3,Unsafe Condition,0,3,0,6,2024
{'$oid': '69087efc012e93c9d6fdeb46'},135787247,0,Dropped Object(s),At-Risk,B,,1759914584881,59,Energy,1709094230000,135787247,True,Project A,1762164474707,Area 42,2,Injury/Illness,Dropped Objects,Asia (North Asia),3,Unsafe Condition,0,3,0,9,2024
{'$oid': '69087efc012e93c9d6fdeb47'},135787303,0,Dropped Object(s),At-Risk,B,,1759914584881,59,Energy,1709119129000,135787303,True,Project A,1762164474707,Area 42,2,Injury/Illness,Dropped Objects,Asia (North Asia),4,Unsafe Condition,0,4,0,9,2024
{'$oid': '69087efc012e93c9d6fdeb48'},135799463,0,Other,At-Risk,B,Laborers,1759914584881,81,Energy,1711013930000,135799463,True,Project A,1762164474707,Other,3,,Work at Height,Asia (North Asia),4,Unsafe Condition,0,4,0,12,2024
{'$oid': '69087efc012e93c9d6fdeb49'},135807159,0,Repetitive Motion/Body Position/Ergonomic Hazards,At-Risk,N,Other,1759914584881,95,Energy,1712201930000,135807159,False,Project A,1762164474707,Area 40,4,,,Asia (North Asia),1,Behavior,0,1,0,14,2024
{'$oid': '69087efc012e93c9d6fdeb4a'},135823856,0,Repetitive Motion/Body Position/Ergonomic Hazards,At-Risk,B,,1759914584881,121,Energy,1714475330000,135823856,False,Project A,1762164474707,Other,4,Injury/Illness,,Asia (North Asia),1,Behavior,0,1,0,18,2024
{'$oid': '69087efc012e93c9d6fdeb4b'},135831423,0,Repetitive Motion/Body Position/Ergonomic Hazards,At-Risk,B,Pipefitters,1759914584881,128,Energy,1715049529000,135831423,False,Project A,1762164474707,Area 43,5,,,Asia (North Asia),1,Behavior,0,1,0,19,2024
{'$oid': '69087efc012e93c9d6fdeb4c'},135864926,0,Other,At-Risk,B,,1759914584881,174,Energy,1719028430000,135864926,True,Project A,1762164474707,Area 42,6,Injury/Illness,Dropped Objects,Asia (North Asia),3,Unsafe Condition,0,3,0,25,2024
{'$oid': '69087efc012e93c9d6fdeb4d'},135867505,0,Slip/Trip,At-Risk,B,Scaffold Builder,1759914584881,177,Energy,1719306530000,135867505,False,Project A,1762164474707,Area 42,6,,,Asia (North Asia),1,Behavior,0,1,0,26,2024
